[2025-09-05 20:10:58] This is codeql database index-files --include-extension=.yaml --include-extension=.yml --size-limit=5m --language yaml -- /workspaces/demo-private/codeql-database
[2025-09-05 20:10:58] Log file was started late.
[2025-09-05 20:10:58] Using index-files script /usr/local/bin/codeql/yaml/tools/index-files.sh.
[2025-09-05 20:10:58] [PROGRESS] database index-files> Scanning for files in /workspaces/demo-private...
[2025-09-05 20:10:58] Calling plumbing command: codeql resolve files --include-extension=.yaml --include-extension=.yml --size-limit=5m /workspaces/demo-private --format=json
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/.deploystack...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/.deploystack/messages...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/.deploystack/scripts...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/terraform...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private/src...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private/src/loadgenerator...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private/src/recommendationservice...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private/src/emailservice...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private/src/shoppingassistantservice...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private/kustomize...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private/kustomize/components...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private/kustomize/components/shopping-assistant...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/src/workspaces/demo-private/kustomize/components/shopping-assistant/scripts...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/diagnostic...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/diagnostic/tracer...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/diagnostic/extractors...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/diagnostic/extractors/python...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/log...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/trap...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/trap/python...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/working...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/working/trap_cache...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/codeql-database/working/trap_cache/1...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/docs...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/docs/releasing...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/docs/img...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/release...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/src...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/src/loadgenerator...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/src/paymentservice...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/src/paymentservice/proto...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/src/paymentservice/proto/grpc...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/src/paymentservice/proto/grpc/health...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/src/paymentservice/proto/grpc/health/v1...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/src/shippingservice...
[2025-09-05 20:10:58] [PROGRESS] resolve files> Scanning /workspaces/demo-private/src/shippingservice/genproto...
